Date,Open,High,Low,Close
2000-07-14,542.70,542.70,542.70,542.70
2000-07-19,547.90,547.90,547.20,547.20
2000-07-20,546.85,546.85,544.60,545.45
2000-07-21,546.70,546.90,544.90,546.15
2000-07-24,547.28,549.45,546.80,549.45
2000-07-25,551.48,551.90,550.20,550.36
2000-07-26,551.00,555.55,551.00,555.25
2000-07-27,556.70,556.70,553.35,553.35
2000-07-28,554.55,557.50,554.45,557.30
2000-07-31,558.50,558.70,555.70,556.12
2000-08-01,554.75,555.20,553.70,553.70
2000-08-02,553.00,553.60,549.00,549.00
2000-08-03,551.20,553.55,549.70,553.30
2000-08-04,553.50,556.15,553.50,554.90
2000-08-07,556.10,556.70,554.99,555.00
2000-08-08,554.70,554.91,552.35,553.20
2000-08-09,552.45,553.45,551.60,553.35
2000-08-10,553.48,553.48,551.10,551.60
2000-08-11,550.00,551.80,547.50,547.50
2000-08-14,548.60,548.60,542.10,544.55
2000-08-16,543.50,546.15,543.50,545.90
2000-08-17,546.10,546.99,545.00,546.10
2000-08-18,546.60,549.70,546.20,549.50
2000-08-21,550.50,552.40,547.75,547.95
2000-08-22,547.00,548.80,545.20,545.50
2000-08-23,544.00,546.75,543.50,546.50
2000-08-24,546.80,547.55,545.85,547.00
2000-08-25,547.80,548.80,546.20,546.98
2000-08-28,546.00,546.63,545.20,545.30
2000-08-29,553.00,559.70,553.00,558.37
2000-08-30,559.30,565.20,559.30,561.50
2000-08-31,562.00,564.10,560.80,561.90
2000-09-01,561.00,564.30,560.00,564.20
2000-09-05,567.00,569.00,566.80,568.70
2000-09-06,570.40,571.50,567.70,569.10
2000-09-07,569.00,572.00,568.60,569.00
2000-09-08,570.00,570.00,566.50,568.20
2000-09-11,566.00,567.00,565.80,565.85
2000-09-12,566.30,566.60,564.50,565.45
2000-09-13,566.20,566.79,563.30,563.30
2000-09-14,562.50,563.10,559.20,560.60
2000-09-15,561.00,564.40,561.00,563.50
2000-09-20,566.00,570.55,566.00,569.70
2000-09-21,569.70,570.30,567.40,567.45
2000-09-22,570.00,570.90,565.10,565.31
2000-09-25,561.92,564.60,560.70,563.30
2000-09-26,564.50,568.20,562.85,568.20
2000-09-27,570.00,570.00,566.70,567.50
2000-09-28,567.60,567.85,563.20,563.60
2000-09-29,564.00,564.50,562.40,564.40
2000-10-02,563.50,564.54,560.70,563.00
2000-10-03,561.35,561.50,559.40,561.50
2000-10-04,562.00,562.70,558.90,560.30
2000-10-05,559.00,559.00,557.50,558.60
2000-10-06,558.50,562.10,557.80,561.80
2000-10-10,562.00,565.35,562.00,565.22
2000-10-11,566.70,567.00,563.50,565.00
2000-10-12,563.50,568.80,563.50,567.80
2000-10-13,569.00,570.60,567.80,568.40
2000-10-16,567.00,567.90,565.70,567.65
2000-10-17,566.20,569.40,565.90,569.30
2000-10-18,571.20,573.75,570.05,570.90
2000-10-19,569.80,570.60,567.85,570.20
2000-10-20,571.00,572.95,570.00,570.85
2000-10-23,571.40,573.50,571.40,573.50
2000-10-24,574.50,574.50,572.80,574.30
2000-10-25,574.60,577.50,574.60,577.00
2000-10-26,577.00,579.00,576.30,578.00
2000-10-27,577.35,577.35,573.90,573.90
2000-10-30,572.10,573.00,570.30,570.30
2000-10-31,569.50,570.80,568.70,570.75
