datetime,symbol,open,high,low,close,volume
2014-08-11 09:30:00,NASDAQ:QQQ,95.25,95.76,95.2,95.46,28283279.0
2014-08-12 09:30:00,NASDAQ:QQQ,95.38,95.67,94.93,95.42,28158723.0
2014-08-13 09:30:00,NASDAQ:QQQ,95.81,96.47,95.76,96.43,27996489.0
2014-08-14 09:30:00,NASDAQ:QQQ,96.54,96.95,96.43,96.93,25006602.0
2014-08-15 09:30:00,NASDAQ:QQQ,97.46,97.63,96.48,97.4,55205490.0
2014-08-18 09:30:00,NASDAQ:QQQ,97.89,98.24,97.77,98.15,38938349.0
2014-08-19 09:30:00,NASDAQ:QQQ,98.38,98.76,98.32,98.7,21363394.0
2014-08-20 09:30:00,NASDAQ:QQQ,98.61,98.9,98.53,98.7,23435596.0
2014-08-21 09:30:00,NASDAQ:QQQ,98.76,98.95,98.6,98.9,19339477.0
2014-08-22 09:30:00,NASDAQ:QQQ,98.94,99.25,98.72,99.05,24699453.0
2014-08-25 09:30:00,NASDAQ:QQQ,99.52,99.68,99.16,99.4,24124718.0
2014-08-26 09:30:00,NASDAQ:QQQ,99.53,99.61,99.27,99.5,20100350.0
2014-08-27 09:30:00,NASDAQ:QQQ,99.53,99.64,99.31,99.52,15595925.0
2014-08-28 09:30:00,NASDAQ:QQQ,99.2,99.53,99.08,99.41,23563850.0
2014-08-29 09:30:00,NASDAQ:QQQ,99.65,99.9141,99.2701,99.78,17912339.0
2014-09-02 09:30:00,NASDAQ:QQQ,100.04,100.1,99.6601,100.07,18331922.0
2014-09-03 09:30:00,NASDAQ:QQQ,100.32,100.34,99.3,99.48,25950656.0
2014-09-04 09:30:00,NASDAQ:QQQ,99.73,100.22,99.14,99.39,24663511.0
2014-09-05 09:30:00,NASDAQ:QQQ,99.58,99.95,99.03,99.89,30805767.0
2014-09-08 10:30:00,NASDAQ:QQQ,99.89,100.33,99.62,100.08,25581202.0
2014-09-09 10:30:00,NASDAQ:QQQ,100.06,100.46,99.0645,99.25,36449189.0
2014-09-10 10:30:00,NASDAQ:QQQ,99.38,100.11,99.1,100.07,31080115.0
2014-09-11 10:30:00,NASDAQ:QQQ,99.65,100.04,99.24,99.99,28761940.0
2014-09-12 10:30:00,NASDAQ:QQQ,99.9,99.93,99.17,99.48,30445999.0
2014-09-15 10:30:00,NASDAQ:QQQ,99.59,99.6,98.215,98.52,32972159.0
2014-09-16 10:30:00,NASDAQ:QQQ,98.16,99.57,98.05,99.38,38166920.0
2014-09-17 10:30:00,NASDAQ:QQQ,99.37,100.0,98.93,99.53,37206375.0
2014-09-18 10:30:00,NASDAQ:QQQ,99.83,100.29,99.73,100.28,30196722.0
2014-09-19 10:30:00,NASDAQ:QQQ,100.46,100.5646,99.58,99.98,46923054.0
2014-09-22 10:30:00,NASDAQ:QQQ,99.74,99.75,98.62,99.05,48658049.0
2014-09-23 10:30:00,NASDAQ:QQQ,98.67,99.22,98.58,98.78,33989583.0
2014-09-24 10:30:00,NASDAQ:QQQ,98.87,99.8868,98.54,99.84,35958950.0
2014-09-25 10:30:00,NASDAQ:QQQ,99.53,99.65,97.7,97.74,68642547.0
2014-09-26 10:30:00,NASDAQ:QQQ,98.05,98.96,97.89,98.78,56109106.0
2014-09-29 10:30:00,NASDAQ:QQQ,97.8,98.92,97.75,98.65,33342673.0
2014-09-30 10:30:00,NASDAQ:QQQ,98.92,99.3,98.32,98.79,41834324.0
2014-10-01 10:30:00,NASDAQ:QQQ,98.54,98.61,96.9,97.21,58164861.0
2014-10-02 10:30:00,NASDAQ:QQQ,97.19,97.51,95.97,97.21,54501347.0
2014-10-03 10:30:00,NASDAQ:QQQ,97.76,98.57,97.44,98.17,41627772.0
2014-10-06 10:30:00,NASDAQ:QQQ,98.47,98.72,97.6587,97.96,36038687.0
2014-10-07 10:30:00,NASDAQ:QQQ,97.485,97.7799,96.56,96.57,45153968.0
2014-10-08 10:30:00,NASDAQ:QQQ,96.66,98.76,96.06,98.45,64931636.0
2014-10-09 10:30:00,NASDAQ:QQQ,98.33,98.57,96.71,96.86,62497086.0
2014-10-10 10:30:00,NASDAQ:QQQ,96.29,96.83,94.42,94.44,77579425.0
2014-10-13 10:30:00,NASDAQ:QQQ,94.29,94.99,92.88,92.96,80835922.0
2014-10-14 10:30:00,NASDAQ:QQQ,93.6,94.1699,92.71,92.97,71814456.0
2014-10-15 10:30:00,NASDAQ:QQQ,91.55,92.76,90.24,92.37,108847755.0
2014-10-16 10:30:00,NASDAQ:QQQ,90.43,92.58,90.39,91.79,93165782.0
2014-10-17 10:30:00,NASDAQ:QQQ,92.99,93.89,92.46,93.0,69546720.0
2014-10-20 10:30:00,NASDAQ:QQQ,92.96,94.47,92.8,94.39,41479253.0
2014-10-21 10:30:00,NASDAQ:QQQ,95.54,96.87,95.32,96.87,53609758.0
2014-10-22 10:30:00,NASDAQ:QQQ,97.16,97.3,96.305,96.37,39178048.0
2014-10-23 10:30:00,NASDAQ:QQQ,97.32,98.36,97.17,97.82,48123778.0
2014-10-24 10:30:00,NASDAQ:QQQ,97.965,98.69,97.64,98.62,43161724.0
2014-10-27 10:30:00,NASDAQ:QQQ,98.4,98.87,98.02,98.69,29545673.0
2014-10-28 10:30:00,NASDAQ:QQQ,99.1,100.2,99.08,100.18,34495077.0
2014-10-29 10:30:00,NASDAQ:QQQ,99.84,100.12,99.1,99.81,40552803.0
2014-10-30 10:30:00,NASDAQ:QQQ,99.37,100.26,99.14,100.02,35935794.0
2014-10-31 10:30:00,NASDAQ:QQQ,101.67,101.75,101.07,101.4,54254141.0
